                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.3942,                 2.0563,                 1.1015,                0.95033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001001,               0.001001,               0.001001
                     32,                 1.3727,                 2.0057,                 1.1002,                0.96661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099734,             0.00099734,             0.00099734
                     33,                 1.4392,                  2.151,                 1.1486,                0.95721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099368,             0.00099368,             0.00099368
                     34,                 1.4364,                 2.2184,                 1.1742,                0.99361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099001,             0.00099001,             0.00099001
                     35,                 1.4204,                 2.0597,                 1.1292,                0.98833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00098635,             0.00098635,             0.00098635
                     36,                 1.3411,                 2.0188,                 1.0469,                0.95501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00098268,             0.00098268,             0.00098268
                     37,                 1.4313,                 2.0732,                 1.1511,                 0.9649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097901,             0.00097901,             0.00097901
                     38,                 1.4726,                 2.0007,                 1.1421,                 1.0083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097535,             0.00097535,             0.00097535
                     39,                 1.3666,                 2.0623,                 1.0738,                0.94519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097168,             0.00097168,             0.00097168
                     40,                  1.349,                 2.0891,                 1.0456,                0.93691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096801,             0.00096801,             0.00096801
                     41,                 1.3956,                 2.1118,                  1.076,                 0.9558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096435,             0.00096435,             0.00096435
                     42,                 1.3672,                 1.9987,                 1.0518,                0.93073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096068,             0.00096068,             0.00096068
                     43,                 1.3565,                  2.029,                 1.0428,                0.94731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095702,             0.00095702,             0.00095702
                     44,                 1.3721,                 1.9827,                 1.0611,                0.94792,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095335,             0.00095335,             0.00095335
                     45,                 1.3383,                 2.0378,                 1.0356,                0.94058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094968,             0.00094968,             0.00094968
                     46,                 1.3809,                 1.9396,                 1.0053,                0.93654,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094602,             0.00094602,             0.00094602
